file_name,text,class,Y
1623206.txt,"Association of Occupational Therapists of Ireland Contact details for Irish occupational therapy association, with members-only pages. ",Professions,9
1621008.txt,MedlinePlus: Flutamide Information for patients in English and Spanish. ,Pharmacy,8
Health_1628517.txt,"Abbeyfield Houses Society of Canada Includes detailed information about this Society and its residential facilities. Includes historical information, a newsletter as well as links to relevant resources. ",Senior,12
1621156.txt,"MedlinePlus: Indinavir Features information about dosage, usage, warnings, and side effects. ",Pharmacy,8
1618179.txt,"Elite Travel Nurse Offers traveling assignments throughout the United States. List of benefits, frequently asked questions, application form, and contact information. ",Nursing,6
1577353.txt,Northwestern Ontario Meetings listed per district. How to contact local AA. Events. By Area85 of Alcoholics Anonymous. ,Addictions,0
and_Diseases_1598869.txt,"United Cerebral Palsy of Georgia Offers services to people with CP and related conditions. News and information about locations, services, fundraising and other activities, employment and volunteer opportunities, and research. ",Conditions,3
1604969.txt,"Montrose Memorial Hospital A Regional Medical Center located in Montrose. Overview of services, hospital directory, directions, map, news, employment and healthcare links. ",Medicine,4
Health_1628489.txt,"Momiji Health Care Society Assisting Canadians, primarily senior citizens of Japanese-Canadian descent, to live independently in their own homes as long as possible by arranging for services when needed. ",Senior,12
1582874.txt,"EeVon Ling, ND Physician practicing in Toronto, Ontario, Canada. ",Alternative,1
1623081.txt,"North American Registry of Midwives (NARM) Certifying organization recognizing and encompassing multiple routes of entry into licensed practice. Offers detailed sections on certification processes, professional accountability, policy and procedures as well as newsletters. ",Professions,9
Health_1628593.txt,"Jewish Home San Francisco Residential, healthcare facility providing senior adults with a comprehensive program of long and short-term medical, nursing, rehabilitation, respite, and support services. ",Senior,12
1619116.txt,"Nebraska Dietetic Association Locate and complain about local dietitians, otherwise member resources include meetings, employment, scholarships, legislation. ",Nutrition,7
Health_1628540.txt,"MyNursingHomes.com Free search, easy to navigate Nationwide Directory of nursing homes and long term care facilities. ",Senior,12
Health_1628592.txt,Assisted living services just like family Describes four assisted living and residential care facilities for the elderly in the SF Bay Area. ,Senior,12
1579125.txt,"Sedona Natural Healing Offers solutions for addictions, substance abuse problems, and compulsive behaviors. Information about a retreat, counseling, workshops, activities, and contact details. ",Addictions,0
Health_and_Safety_1623990.txt,"Hamilton Fire &amp; Rescue Includes activity reports, information on personnel, stations and apparatus. ",Public,10
1587036.txt,"Capitol Illini Veterinary Services Full-service vet care for dogs, cats, birds, amphibians, and pocket pets. Information about their staff, services, hours, location, and references. Springfield. ",Animal,2
1611012.txt,American Academy of Family Physicians Foundation Philanthropic arm of the American Academy of Family Physicians (AAFP). ,Medicine,4
1580652.txt,"Chrysalis Corporate and personal coaching. Specializes in stress, life purpose, and change. Based in Halifax. ",Alternative,1
and_Diseases_1597443.txt,"Flu.gov: H1N1 Swine Flu U.S. government information about the disease with symptoms, prevention, vaccine, treatment, podcasts, brochures, news, and fact sheets. ",Conditions,3
Health_1614466.txt,"Twin Cities Relationship Resources Private practice of Rebecca Chesin, LAMFT, in Minneapolis, Minnesota. Description of services, self-assessment questionnaires, blog with resources, and calendar of workshops. ",Mental,5
1622672.txt,The Birthing Tree Cooperative Provides information on services in Santa Fe. ,Professions,9
1619419.txt,"Minnesota School Nutrition Association The professional state body providing publications, conferences, information, local chapters, training, certification, jobs and membership. ",Nutrition,7
1623533.txt,"Ashland University: Therapeutic Recreation The Sport Science Department offers a program for supervisory and administrative positions. Features student information, course details, and faculty profiles. ",Professions,9
Health_1628977.txt,"Nancy Wexler, MA, MFCC Presents articles on caregiving for the elderly, and offers care services in the Los Angeles, California, USA area. ",Senior,12
and_Diseases_1598273.txt,Hypermobility East Anglia Group Support group helping and advising people on matters of hypermobility and specialised equipment. ,Conditions,3
Health_1628664.txt,"Chateau Le Petite. Residential care facility for the elderly. Includes, services offered, images, and testimonials. Encino and Valley Village. ",Senior,12
1578510.txt,"Illinois Church Action on Alcohol and Addiction Problems State-wide substance abuse and gambling prevention organization dedicated to working with churches, schools, youth and community groups in Illinois. ",Addictions,0
Health_1614256.txt,"Pastoral Counseling and Consultation Centers of Greater Washington PC and CC offers marriage, individual and group counseling to the Washington DC area. Also work shops, and internship opportunities. Details about the couples and family therapy, the therapist, programs and resources. ",Mental,5
1583332.txt,"The Reiki Page David Herron provides a list of Reiki practitioners, history and ethical principles. ",Alternative,1
Health_and_Safety_1625746.txt,"North Shore Search and Rescue Stories, photos, survival tips, gear information, and membership details for Vancouver mountain rescue team. ",Public,10
1623147.txt,"Birthing for Life Boston, Metrowest, and Worcester areas. Offers birth doula care, homebirth care, hypnobirthing classes. ",Professions,9
and_Diseases_1592978.txt,Crohn's Family Message board for people with Crohn's disease and colitis. ,Conditions,3
1579211.txt,"Doc Misha's Chicken Soup Chinese Medicine Tips for choosing a practitioner, FAQs. Maintained by Misha Ruth Cohen. Clinic in San Francisco, California. ",Alternative,1
1621702.txt,"MedlinePlus: Pentamidine Inhalation Features information about dosage, usage, warnings, and side effects. ",Pharmacy,8
Health_1627217.txt,"Woman to Woman Support Network Located in Middletown. Pregnancy testing, shelter, adoption information, referral to community agencies, baby clothing and furniture, support and encouragement, job placement aid, and post-abortion support. ",Reproductive,11
Health_and_Safety_1624818.txt,"North Spartanburg Area Fire and Rescue District Department information, pictures, calendar, ""After the Fire"" information, mission statement. ",Public,10
1586569.txt,"Hazel Ridge Veterinary Clinic Progressive full service small animal hospital caring for dogs, cats, rabbits, and pocket pets. Educational articles, their policies, and staff biographies. Fair Oaks. ",Animal,2
1618516.txt,"Nurse's PDR Resource Center Includes monthly alerts, changes and new drug releases. Features the monthly drug column from RN Magazine as well as daily drug news headlines from Individual, Inc. ",Nursing,6
1619072.txt,"International Confederation of Dietetic Associations Offers information about its international congress, a newsletter, and membership details. ",Nutrition,7
1623228.txt,"Mississippi Occupational Therapy Association Promotes occupational therapy in Mississippi, USA ",Professions,9
1619010.txt,"Gay Riley, MS, RD Provides goals and services, articles, online tools, questions and answers board, and recipes. ",Nutrition,7
1620784.txt,Solarize Full prescribing information from RxList. ,Pharmacy,8
1580072.txt,"Aromatic Kinesiology Site for Australia-based author Robbi Zeck, ND, who focuses on aromatherapy and the emotions. Includes information about tours, retreats, and workshops. ",Alternative,1
Health_1628532.txt,"The Rekai Centre Dementia, palliative, and rehabilitation care are offered in this Toronto Nursing Home. ",Senior,12
1577994.txt,"VisionQuest Recovery Society Located in Fraser Valley/White Rock/South Surrey. This program offers hope for those struggling with an alcohol or drug dependency. Intervention, Detoxificaton and Treatment are all offered. ",Addictions,0
1612482.txt,"Bridger Orthopedic and Sports Medicine, P.C. Surgeons specializing in sports medicine, spine disorders and all other related injuries and conditions. Located in Bozeman. ",Medicine,4
Health_1627731.txt,Malpani Infertility Clinic Answers to infertility FAQs. ,Reproductive,11
Health_and_Safety_1625576.txt,"VA EMS Serve to assess, identify, coordinate, plan and implement efficient and effective regional delivery systems in partnership with Virginia's Office of Emergency Medical Services and Advisory Board. Includes a list of regional sites. ",Public,10
1617973.txt,"British Columbia Open University Offers programs of study that lead to associate, bachelor, and master degrees. Students may complete some degree programs in conjunction with campus-based studies at other institutions. Includes prerequisites and program requirements. ",Nursing,6
1581702.txt,"Ireland's Holistic Directory Listings of holistic and complementary practitioners, with sections including events calendar, editors weblog, and training courses. ",Alternative,1
1585682.txt,"UPLB College of Veterinary Medicine Information on the academic programs. Located at the University of the Philippines Los Banos, Laguna. ",Animal,2
Health_1629075.txt,"Eating Well as We Age The Food and Drug Administration. Problems, solutions, nutrition facts. ",Senior,12
1623038.txt,"Seattle Midwifery School Private, nonprofit organization that offers training programs for direct-entry midwives, doulas, postpartum doulas, and childbirth educators. ",Professions,9
Health_1629003.txt,"Elder Care Advisors Elder care services, advice, training and publication for care givers and children of elderly parents ",Senior,12
1618622.txt,"Professional Anesthesia Services of Eastern Pennsylvania Professional Anesthesia Services of Eastern Pennsylvania provides CRNA anesthesia coverage for hospitals, surgical centers, physicians offices, and clinics. ",Nursing,6
1619325.txt,Fish Oils and Vitamin E Summaries of the latest research concerning fish oils and vitamin E. ,Nutrition,7
